黑龙江联通,#genre#
大湾区卫视,http://113.76.149.109:4022/udp/239.77.0.9:5146
大湾区卫视,http://113.76.149.109:4022/udp/239.77.1.12:5146
广东影视,http://113.76.149.109:4022/udp/239.77.0.11:5146
广东少儿,http://113.76.149.109:4022/udp/239.77.0.12:5146
嘉佳卡通,http://113.76.149.109:4022/udp/239.77.0.13:5146
嘉佳卡通,http://113.76.149.109:4022/udp/239.77.1.15:5146
岭南戏曲,http://113.76.149.109:4022/udp/239.77.0.16:5146
广东房产,http://113.76.149.109:4022/udp/239.77.0.14:5146
现代教育,http://113.76.149.109:4022/udp/239.77.0.18:5146
广东移动,http://113.76.149.109:4022/udp/239.77.0.20:5146
广东综艺,http://113.76.149.109:4022/udp/239.77.1.236:5146
广东综艺,http://113.76.149.109:4022/udp/239.77.1.237:5146
广东综艺4K,http://113.76.149.109:4022/udp/239.77.0.244:5146
广东综艺4k,http://113.76.149.109:4022/udp/239.77.0.246:5146
广东综艺4k,http://113.76.149.109:4022/udp/239.77.0.245:5146
广东综艺4k,http://113.76.149.109:4022/udp/239.77.0.252:5146
广州综合,http://113.76.149.109:4022/udp/239.253.43.66:5146
广州综合,http://113.76.149.109:4022/udp/239.253.43.71:5146
广州新闻,http://113.76.149.109:4022/udp/239.253.43.67:5146
广州新闻,http://113.76.149.109:4022/udp/239.253.43.72:5146
广州影视,http://113.76.149.109:4022/udp/239.253.43.68:5146
广州影视,http://113.76.149.109:4022/udp/239.253.43.73:5146
广州法治,http://113.76.149.109:4022/udp/239.253.43.69:5146
广州法治,http://113.76.149.109:4022/udp/239.253.43.74:5146
广州竞赛,http://113.76.149.109:4022/udp/239.253.43.70:5146
广州竞赛,http://113.76.149.109:4022/udp/239.253.43.75:5146
深圳卫视,http://113.76.149.109:4022/udp/239.77.0.55:5146
深圳卫视,http://113.76.149.109:4022/udp/239.77.1.21:5146
深圳卫视,http://113.76.149.109:4022/udp/239.77.1.3:5146
深圳卫视,http://113.76.149.109:4022/udp/239.77.1.148:5146
深圳卫视,http://113.76.149.109:4022/udp/239.77.0.92:5146
深圳卫视,http://113.76.149.109:4022/udp/239.77.0.130:5146
深圳都市,http://113.76.149.109:4022/udp/239.77.1.34:5146
深圳都市,http://113.76.149.109:4022/udp/239.77.1.176:5146
深圳都市,http://113.76.149.109:4022/udp/239.77.1.124:5146
深圳电视剧,http://113.76.149.109:4022/udp/239.77.1.7:5146
深圳电视剧,http://113.76.149.109:4022/udp/239.77.1.177:5146
深圳电视剧,http://113.76.149.109:4022/udp/239.77.1.125:5146
深圳财经生活,http://113.76.149.109:4022/udp/239.77.1.22:5146
深圳财经生活,http://113.76.149.109:4022/udp/239.77.1.242:5146
深圳娱乐,http://113.76.149.109:4022/udp/239.77.1.36:5146
深圳娱乐,http://113.76.149.109:4022/udp/239.77.1.243:5146
