17,udp://224.1.6.217:11111
cinemaWorld,udp://224.1.6.222:11111
潘多拉,udp://224.1.6.219:11111
爱放,udp://224.1.6.223:11111
TVBS精彩台,udp://224.1.6.225:11111
三立戏剧台,udp://224.1.6.232:11111
31,udp://224.1.6.231:11111
ELTA体育-2,udp://224.1.6.237:11111
38,udp://224.1.6.238:11111
八大优频道FHD,udp://224.1.6.239:11111
靖洋戏剧FHD,udp://224.1.6.240:11111
靖天欢乐FHD,udp://224.1.6.241:11111
动漫FHD,udp://224.1.6.242:11111
靖天映画FHD,udp://224.1.6.236:11111
靖天电影FHD,udp://224.1.6.243:11111
MTV FHD,udp://224.1.6.246:11111
BBC新闻FHD,udp://224.1.6.250:11111
寰宇新闻FHD,udp://224.1.6.252:11111
寰宇财经FHD,udp://224.1.6.249:11111
